Domain,Sub_Domain,Skills
(CAH01) medicine and dentistry,(CAH01-01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific)
(CAH01) medicine and dentistry,(CAH01-01) medicine and dentistry,(CAH01-01-02) medicine (non-specific)
(CAH01) medicine and dentistry,(CAH01-01) medicine and dentistry,(CAH01-01-03) medicine by specialism
(CAH01) medicine and dentistry,(CAH01-01) medicine and dentistry,(CAH01-01-04) dentistry
(CAH02) subjects allied to medicine,"(CAH02-02) pharmacology, toxicology and pharmacy",(CAH02-02-01) pharmacology
(CAH02) subjects allied to medicine,"(CAH02-02) pharmacology, toxicology and pharmacy",(CAH02-02-02) toxicology
(CAH02) subjects allied to medicine,"(CAH02-02) pharmacology, toxicology and pharmacy",(CAH02-02-03) pharmacy
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-01) nursing (non-specific)
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-02) adult nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-03) community nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-04) midwifery
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-05) children's nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-06) dental nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-07) mental health nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-08) learning disabilities nursing
(CAH02) subjects allied to medicine,(CAH02-04) nursing and midwifery,(CAH02-04-09) others in nursing
(CAH02) subjects allied to medicine,(CAH02-05) medical sciences,(CAH02-05-01) medical technology
(CAH02) subjects allied to medicine,(CAH02-05) medical sciences,(CAH02-05-02) healthcare science (non-specific)
(CAH02) subjects allied to medicine,(CAH02-05) medical sciences,(CAH02-05-03) biomedical sciences (non-specific)
(CAH02) subjects allied to medicine,(CAH02-05) medical sciences,"(CAH02-05-04) anatomy, physiology and pathology"
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-01) health sciences (non-specific)
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-02) nutrition and dietetics
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-03) ophthalmics
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-04) environmental and public health
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-05) physiotherapy
(CAH02) subjects allied to medicine,(CAH02-06) allied health,(CAH02-06-06) complementary and alternative medicine
(CAH02) subjects allied to medicine,(CAH02-06) allied health,"(CAH02-06-07) counselling, psychotherapy and occupational therapy"
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-01) biosciences (non-specific)
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-02) biology (non-specific)
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-03) ecology and environmental biology
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-04) microbiology and cell science
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-05) plant sciences
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-06) zoology
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-07) genetics
(CAH03) biological and sport sciences,(CAH03-01) biosciences,"(CAH03-01-08) molecular biology, biophysics and biochemistry"
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-09) hair and beauty sciences
(CAH03) biological and sport sciences,(CAH03-01) biosciences,(CAH03-01-10) others in biosciences
